,input,output,gold,prefix
103,Risks of bias were mostly evident through lack of blinded outcome assessments (in 60% of studies) and incomplete data reporting (attrition bias).,Risks of bias were mostly evident through blinded outcome assessments (in 60% of studies) and incomplete data reporting (attrition bias).,"The investigators and people involved usually knew which treatment group they were in, which may have affected how they reported results.",Simplify sentence: 
104,There appears to be no significant differences in the improvement of technical skills between different methods of box model training.,There appears to be no significant difference in technical skills between different methods of box model training.,There does not appear to be any significant differences in different methods of box model training.,Simplify sentence: 
105,"Cardiovascular disease (CVD) is the most frequent cause of death in people with early stages of chronic kidney disease (CKD), for whom the absolute risk of cardiovascular events is similar to people who have existing coronary artery disease.","This is associated with complications of the heart, heart, lung and heart disease (CHD) and heart attacks in people with early stages of chronic kidney disease.",It is thought that statin treatment lowers cholesterol and reduces risk of death and complications from heart disease.,Simplify sentence: 
106,"It is most common in young adult women, in whom the incidence may be increasing.",This is most common in young adult women.,In the general population the lifetime prevalence of anorexia nervosa may be as high as 5 in 100 women.,Simplify sentence: 
107,This review highlights the paucity of data and the need for more research in this area.,This review highlights the lack of data and the need for more research in this area.,This review found that there is not enough published research evaluating programmes aiming to prevent Indigenous youth from starting to use tobacco.,Simplify sentence: 
108,"Four RCTs compared ultrasound with palpation, and one compared ultrasound with Doppler auditory assistance.","Four studies compared ultrasound with palpation, and one compared ultrasound with Doppler auditory assistance.",We found five eligible studies - four comparing ultrasound with palpation and one comparing ultrasound with Doppler auditory assistance.,Simplify sentence: 
109,The results of this review are threatened by both risks of systematic errors (bias) and risks of random errors (play of chance).,These results are threatened by risks of systematic errors (bias) and risks of random errors (play of chance).,All but one of the trials were of high risk of bias (defects in study design that can lead to arriving at incorrect conclusions with overestimation of benefits and underestimation of harms).,Simplify sentence: 
110,"To determine the efficacy of oral morphine in relieving cancer pain, and to assess the incidence and severity of adverse events.","This review tried to determine the efficacy of oral morphine, and the incidence and severity of side effects.","In this updated review we set out to estimate how well morphine worked, how many people had side effects, and how severe those side effects were – for example, whether they were so severe that participants stopped taking their oral morphine.",Simplify sentence: 
111,Two trials met the inclusion criteria.,Two trials met the inclusion criteria.,We found two trials.,Simplify sentence: 
112,"To compare the benefits and harms of box model training versus no training, another box model, animal model, or cadaveric model training for surgical trainees with no prior laparoscopic experience.",More research is needed before surgery.,The impact of box model training in surgical trainees with no prior laparoscopic experience is unknown.,Simplify sentence: 
113,Training using a box model physical simulator - either a video box or a mirrored box - is an option to supplement standard training.,Training using a box model is an alternative option to standard training in which the person is taught how to do this.,Training using box models (physical simulation) is an option to supplement standard laparoscopic surgical training.,Simplify sentence: 
114,There is high quality evidence that the use of blunt needles appreciably reduces the risk of exposure to blood and bodily fluids for surgeons and their assistants over a range of operations.,Results from a high quality are of moderate to high quality.,We concluded that there is high quality evidence that the use of blunt needles appreciably reduces the risk of contracting infectious diseases for surgeons and their assistants over a range of operations by reducing the number of needle stick injuries.,Simplify sentence: 
115,"Based on low certainty evidence, thrombolytic therapy may restore catheter function when compared to placebo (149 participants: RR 4.05, 95% CI 1.42 to 11.56) but there is no data available to suggest an optimal dose or administration method.",clombolytic therapy may restore catheter function when compared to placebo (149 participants) but there is no data available to suggest an optimal dose or administration method.,Thrombolytic therapy was probably better than placebo at restoring catheter function but there was no optimal dose or administration method.,Simplify sentence: 
116,"Cardiovascular disease (CVD) is the most frequent cause of death in people with early stages of chronic kidney disease (CKD), for whom the absolute risk of cardiovascular events is similar to people who have existing coronary artery disease.",Cardiovascular disease (CVD) is the most frequent cause of death in people with early stages of coronary kidney disease (CKD).,"We found that these issues were not analysed well in the studies we evaluated, and these effects are not well understood.",Simplify sentence: 
117,There were also no randomised trials that directly compared anticoagulants with antiplatelet drugs and the reported non-randomised studies did not show any evidence of a significant difference between the two.,The included studies also showed no statistical difference between the two drugs.,More research is needed.,Simplify sentence: 
118,"Their efficacy for secondary prevention of serious vascular events is unclear, and to date no systematic review focusing on secondary prevention has been undertaken.",It is uncertain whether other systematic reviews will be performed on secondary prevention.,"The aim of this study was to assess the effect of fibrates for the prevention of major events including heart attacks, strokes, and circulatory disease death in people with existing circulatory disease.",Simplify sentence: 
119,Randomised controlled trials that evaluated topical and systemic interventions for melasma.,We searched for randomised controlled trials in which there were no other treatments for melasma.,Mixed melasma is a combination of epidermal and dermal melasma.,Simplify sentence: 
120,Tobacco use in Indigenous populations (people who have inhabited a country for thousands of years) is often double that in the non-Indigenous population.,Tobacco use in indigenous populations (people who have inhabited a country for thousands of years) is often double that in the non-Indigenous population.,"In Indigenous populations, the number of people who smoke has not fallen as it has in the wider communities around them.",Simplify sentence: 
121,To evaluate the effectiveness of intervention programmes to prevent tobacco use initiation or progression to regular smoking amongst young Indigenous populations and to summarise these approaches for future prevention programmes and research.,We assessed the effectiveness of intervention programmes to prevent tobacco use in young indigenous populations to prevent initiation or progression to regular smoking.,This review found that there is not enough published research evaluating programmes aiming to prevent Indigenous youth from starting to use tobacco.,Simplify sentence: 
122,"Results of the ongoing trials will add to the evidence base but additional longer-term, high-quality trials are needed.","Results of the ongoing trials will add to the evidence base but additional longer-term, high-quality studies are needed.","Longer-term, high-quality trials are needed in order to determine the effectiveness of tai chi for CVD prevention.",Simplify sentence: 
123,"Based on the available evidence, a conclusion cannot be drawn as to the efficacy of tobacco prevention initiatives tailored for Indigenous youth.","Accordingly, there is no conclusive evidence to support or refute the use of tobacco prevention initiatives designed for Indigenous youth.","Information from the two included studies in this review (1505 participants in total, in Native American communities) does not allow a conclusion to be drawn as to whether tobacco prevention programmes in Indigenous populations prevent Indigenous youth from smoking or using smokeless tobacco.",Simplify sentence: 
124,"No difference was observed in weekly smoking at 42 months follow-up in the one study assessing this outcome (skills-community group versus control: risk ratio [RR] 0.95, 95% CI 0.78 to 1.14; skills-only group versus control: RR 0.86, 95% CI 0.71 to 1.05).",No difference was observed in weekly smoking at 42 months follow-up.,"Information from the two included studies in this review (1505 participants in total, in Native American communities) does not allow a conclusion to be drawn as to whether tobacco prevention programmes in Indigenous populations prevent Indigenous youth from smoking or using smokeless tobacco.",Simplify sentence: 
125,There was considerable heterogeneity between the studies included in this review and studies were small and at some risk of bias.,There was considerable heterogeneity between the included studies in this review.,"The results of this review should be treated with caution as the studies were small, of short duration and there was some risk of bias (where there was a risk of arriving at the wrong conclusions because of favouritism by the participants or researchers).",Simplify sentence: 
126,The use of blunt needles can reduce this risk because they don't penetrate skin easily but still perform sufficiently in other tissues.,"Also, blunt needles prevent skin infections.",The use of blunt needles is proposed to prevent needle stick injuries.,Simplify sentence: 
127,Risks of bias were mostly evident through lack of blinded outcome assessments (in 60% of studies) and incomplete data reporting (attrition bias).,Risks of bias were mostly evident through lack of blinded outcome assessments (in 60% of studies) and incomplete data reporting (attrition bias).,"Because of the risk of bias and limitations of studies, notably small sample sizes, we can draw no specific conclusions about the effects of specific individual psychological therapies for anorexia nervosa in adults or older adolescents.",Simplify sentence: 
128,"There was an increased number of infections in the surgery group however this increase was not statistically significant (4 studies, 275 participants): RR 0.31, 95% CI 0.09 to 1.05; I² = 0%).",This increased number of infections was not statistically significant in the surgical group.,"Meta-analysis showed lower rates of recurrence in the surgery group, however there was insufficient evidence to draw a strong conclusion.",Simplify sentence: 
129,"Three studies reported the frequency of pain in the surgery group was higher than aspiration and sclerotherapy group but because of different measurement tools applied in these studies, we could not pool the results.","For each of the studies, the frequency of pain was higher than aspiration and sclerotherapy, but because of different measurement tools applied in these studies, we could not combine the results.","Postoperative complications such as infection and fever, as well as cost and time to work resumption were less in the aspiration and sclerotherapy group; however the recurrence rate was higher.",Simplify sentence: 
130,"Further well-designed, multicenter trials, at low risk of bias, are necessary to assess the effect of anabolic steroids on treating pressure ulcers, but careful consideration of the current trial and its early termination are required when planning future research.","Further well-designed multicenter trials are necessary to investigate the effect of anabolic steroids on pressure ulcers, and careful consideration of the current trial and its early termination are required when planning future research.","More, better-designed studies are necessary to provide evidence as to whether anabolic steroids are beneficial or not in treating pressure ulcers.",Simplify sentence: 
131,"Allergic-type reactions were more common with the sponge, although discontinuation for discomfort differed in the two trials.","Allergic-type reactions were more common with the sponge, although discontinuation for discomfort differed in the two trials.",Allergy to the sponge was a problem for some women.,Simplify sentence: 
132,This trial stopped early when the futility analysis (interim analysis) in the opinion of the study authors showed that oxandrolone had no benefit over placebo for improving ulcer healing.,This trial stopped early when the futility analysis (interim analysis) in the opinion of the study authors showed that oxandrolone had no benefit over placebo for improving ulcer healing.,The trial was ended early as the trial authors deemed that the interim results suggested that there was unlikely to be a benefit from treatment with oxandrolone.,Simplify sentence: 
133,"On average, a surgeon that used sharp needles sustained one glove perforation in three operations.","On average, a surgeon that used sharp needles sustained one glove perforation in three operations.","On average, a surgeon that used sharp needles sustained one glove perforation per three operations.",Simplify sentence: 
134,"Four studies focused on abdominal closure, two on caesarean section, two on vaginal repair and two on hip replacement.","We included four studies involving abdominal closure, two included a caesarean section, two included vaginal repair and two included hip replacement.","Six studies focused on abdominal operations, two on vaginal repair and two on hip replacement.",Simplify sentence: 
135,"However, we derived evidence of low quality from a limited number of studies.",We derived the evidence from a limited number of studies.,"We found evidence of low quality for our main outcome of quick wakefulness, and the effect of injectable anaesthetic technique in people undergoing brain tumour surgery is uncertain.",Simplify sentence: 
136,"In IVF procedures, oocytes and sperm are routinely co-incubated overnight, which may expose oocytes and zygotes to suboptimal culture conditions with increased reactive oxygen species (ROS) produced by sperm in this long term culture.","In the early IVF procedures, oocytes and sperm are routinely co-incubated overnight, which may expose oocytes and zygotes to suboptimal culture conditions with increased reproductive oxygen species (ROS) produced by sperm in this long term culture.","In standard insemination protocols for IVF, oocytes are exposed to sperm for 15 to 20 hours.",Simplify sentence: 
137,"Catheter exchange was reported to be superior to sheath disruption with respect to catheter survival (30 participants: MD 213.00 days, 95% CI 205.70 to 220.30).",Catheter exchange is more effective than sheath disruption with respect to catheter survival.,Catheter exchange may be better than sheath disruption for long-term catheter survival and the use of both techniques together is probably best.,Simplify sentence: 
138,There are two approaches for treatment of hydrocoeles: surgical open hydrocoelectomy and aspiration followed by sclerotherapy.,There are two approaches for treatment of hydrocoeles: surgical open hydrocoelectomy and aspiration followed by sclerotherapy.,"Hydrocoele can be treated with drainage of the fluid along with an injection of a chemical around the testicle to prevent recurrence, or with open surgery.",Simplify sentence: 
139,Melasma is an acquired symmetrical pigmentary disorder where confluent grey-brown patches typically appear on the face.,Melasma is an acquired symmetrical pigmentary disorder where confluent grey-brown patches appear on the face.,Melasma is a psychologically distressing skin disorder also known as ‘chloasma’ or ‘mask of pregnancy’.,Simplify sentence: 
140,"When this study was removed from the analysis the heterogeneity was 0% and the result was significant (in favour of surgery) (2 studies, 136 participants: RR 0.74; 95% CI 0.64 to 0.85).There was a significant increase in recurrence in those who received sclerotherapy compared with surgery (3 studies, 196 participants: RR 9.37, 95% CI 1.83 to 48.4).",When this study was removed from the analysis the heterogeneity was 0% and the result was significant (in favour of surgery).,"Postoperative complications such as infection and fever, as well as cost and time to work resumption were less in the aspiration and sclerotherapy group; however the recurrence rate was higher.",Simplify sentence: 
141,Our search strategy identified 8 studies (580 participants) as eligible for inclusion in this review.,"We identified eight studies, including 580 participants.",We found eight studies involving 580 participants that tested the three different treatments.,Simplify sentence: 
142,Preclinical studies have suggested that RIC may have beneficial effects in ischaemic stroke patients and those at risk of ischaemic stroke.,Preclinical studies have suggested that ricidin may have beneficial effects in ischaemic stroke patients and those at risk of ischaemic stroke.,Studies have suggested that RIC may have beneficial effects for preventing and treating ischaemic stroke.,Simplify sentence: 
143,To assess the effects of antibiotic prophylaxis for preventing surgical site infection (SSI) in people undergoing orthognathic surgery.,The aim of this review was to examine the effects of antibiotic prophylaxis for preventing surgery site infection in people undergoing orthognathic surgery.,"We collected data from all studies addressing this question and summarised them to determine whether antibiotics could prevent infection after surgery, whether this treatment has any adverse effects, whether it reduces the number of days that patients need to be in the hospital and whether it improves overall health status.",Simplify sentence: 
144,"For people undergoing orthognathic surgery, long term antibiotic prophylaxis decreases the risk of SSI compared with short-term antibiotic prophylaxis and the is uncertainty of whether short-term antibiotic prophylaxis decreases SSi risk relative to a single pre-operative dose of prophylactic antibiotics.","For people undergoing orthognathic surgery, long-term antibiotics decreases the risk of SSI compared to short-term antibiotics but is uncertain whether short-term antibiotics decrease SSI compared to a single pre-operative dose of prophylactic antibiotics.","Overall, long-term antibiotics reduce the risk of SSI, and there is uncertainty regarding the effects of receiving one dose of antibiotics preoperatively versus short term antibiotics.",Simplify sentence: 
145,"We included 13 trials involving a total of 16,112 participants.","This review includes 13 studies involving a total of 16,112 participants.","We included 13 trials in this review with a total of 16,112 participants with a history of coronary heart disease or stroke.",Simplify sentence: 
146,The quality of the current evidence is very low.,Quality of the evidence,"Overall, the quality of the evidence for the results is very low.",Simplify sentence: 
147,"Loop diuretics are indicated and used to treat hypertension, but a systematic review of their blood pressure-lowering efficacy or effectiveness in terms of reducing cardiovascular mortality or morbidity from randomized controlled trial (RCT) evidence has not been conducted.",There are no studies on the effect of loop diuretics in terms of heart-related deaths or complications.,"While more commonly used to reduce water retention, loop diuretics are are also indicated for lowering elevated blood pressure.",Simplify sentence: 
148,Morphine is an effective analgesic for cancer pain.,It is an effective painkiller for cancer pain.,Morphine taken by mouth produced good pain relief for most people with moderate or severe cancer pain.,Simplify sentence: 
149,"As tai chi involves exercise and can help in stress reduction, it may be effective in the primary prevention of CVD.","Exercise, exercise and muscle conditioning are effective in primary prevention of chronic oembolia.","However, it is thought that CVD risk can be lowered by changing a number of modifiable behaviours including increasing levels of exercise, and relaxation to reduce stress levels, and both of these comprise tai chi.",Simplify sentence: 
150,Overall we judged the included studies to be at high risk of bias because the methods of randomisation and allocation concealment were poorly reported.,We found at high risk of bias because the methods of randomisation and allocation concealment were poorly reported.,"On another level, the quality of studies is generally poor and we could wish for more consistency in study design, and especially in study reporting, which should include the outcome of pain reduced to tolerable levels – no worse than mild pain – so that people with cancer are not bothered by pain.",Simplify sentence: 
151,"We searched the Cochrane Depression, Anxiety and Neurosis Review Group Specialised Register (CCDANCTR) (16 July 2014).","We searched the Cochrane Depression, Anxiety and Neurosis Review Group Specialised Register (CCDANCTR) on 16 July 2014.",We used search databases to ﬁnd randomised controlled studies of individual psychological therapy delivered in outpatient settings to older adolescents and adults with anorexia nervosa (completed up to July 16 2014).,Simplify sentence: 
152,The use of blunt needles will thus prevent one glove perforation in every six operations.,This use will thus prevent one glove perforation in every six operations.,The use of blunt needles in six operations will thus prevent one glove perforation.,Simplify sentence: 
153,"For smokeless tobacco use, no difference was found between the skills-community arm and the control group at 42 weeks (RR 0.93, 95% CI 0.67 to 1.30), though a significant difference was observed between the skills-only arm and the control group (RR 0.57, 95% CI 0.39 to 0.85).","As there is not a difference between people who used the skills-community arm and those who did not use the skills-community arm, no difference was found.","Information from the two included studies in this review (1505 participants in total, in Native American communities) does not allow a conclusion to be drawn as to whether tobacco prevention programmes in Indigenous populations prevent Indigenous youth from smoking or using smokeless tobacco.",Simplify sentence: 
154,"We also searched specific websites, such as www.indmed.nic.in, www.cochrane-sadcct.org and www.Clinicaltrials.gov (October 2014).",We searched for studies up to October 2014.,The evidence is current to June 2014.,Simplify sentence: 
155,"As an attempt to avoid possible detrimental effects on the oocytes from long exposure to sperm, the brief co-incubation insemination protocol was developed.",Complication rates (essemination) of sperm from long exposure are not known at all.,Shortening the co-incubation time of oocytes and sperm may possibly improve IVF outcomes by reducing the detrimental effect of ROS on the zygotes and the quality of the embryos.,Simplify sentence: 
156,The results show that blood-stage vaccines may play a role and merit further development.,Blood-stage vaccinations may play a role.,Blood-stage vaccines are being actively pursued in further research.,Simplify sentence: 
157,Pharmacological interventions appear to have a bridging role and long-term catheter survival may be improved by fibrin sheath disruption and is probably superior following catheter exchange.,"Overall, pharmacological treatment appears to have a bridging role and long-term catheter survival may be improved by fibrin sheath disruption and is probably superior following catheter exchange.",Catheter patency at two weeks is probably better following fibrin sheath stripping or catheter exchange compared to thrombolytic agent.,Simplify sentence: 
158,Due to the limited evidence available currently no conclusions can be drawn as to the effectiveness of tai chi on CVD risk factors.,No conclusions can be drawn as to the effectiveness of tai chi on cardiovascular disease (CVD) risk factors.,"Due to the small number of short-term studies and the variability between them, we were unable to determine conclusively whether or not tai chi was beneficial at reducing cardiovascular risk in healthy adults and adults at increased risk of CVD, although beneficial effects for CVD risk factors were seen in some studies.",Simplify sentence: 
159,There is no evidence favouring any of these approaches with respect to dialysis adequacy or risk of adverse events.,There was no evidence supporting any of these methods with respect to adverse events.,There is currently insufficient evidence favouring any technique in terms of either dialysis adequacy or reduced risk of adverse events.,Simplify sentence: 
160,Insufficient power was problematic for the majority of trials.,Insufficient power was problematic for the majority of trials.,These trials had some limitations: they were small and often lost a lot of people.,Simplify sentence: 
161,Brain tumour surgery usually is carried out with the patient under general anaesthesia.,Brain tumour surgery usually is carried out with the patient under general anaesthesia.,Brain tumour surgery is carried out most often with the patient asleep and with the use of injectable agents or gases.,Simplify sentence: 
162,Statins consistently lower death and major cardiovascular events by 20% in people with CKD not requiring dialysis.,Statins consistently lower mortality and serious cardiovascular events by 20% in people with CKD which not requiring dialysis.,We found that statins reduced the risk of death and major heart-related events by 20%.,Simplify sentence: 
163,Melasma is an acquired symmetrical pigmentary disorder where confluent grey-brown patches typically appear on the face.,Melasma is an acquired symmetrical pigmentary disorder where confluent grey-brown patches typically appear on the face.,"Darker patches of skin gradually develop on the cheeks, forehead, nose, and upper lip.",Simplify sentence: 
164,"However, this beneficial effect relies on the inclusion of clofibrate data, a drug that was discontinued in 2002 due to its unacceptably large adverse effects.",The potential benefit from clofibrate (an antipsychotic) is therefore unacceptably large.,"However, this beneficial effect relies on the inclusion on data from clofibrates, a drug that was discontinued in 2002 because of safety concerns.",Simplify sentence: 
165,We included all randomised clinical trials comparing box model trainers versus no training in surgical trainees with no prior laparoscopic experience.,We included all of the randomised clinical trials that compared box model training versus no training for surgeons with no prior laparoscopic experience.,Randomised clinical trials are commonly called randomised controlled trials and are the best study design to answer such questions.,Simplify sentence: 
166,The use of blunt needles reduced the risk of glove perforations with a relative risk (RR) of 0.46 (95% confidence interval (CI) 0.38 to 0.54) compared to sharp needles.,The use of blunt needles reduced the risk of glove perforations with a relative risk (RR) of 0.46 (95% confidence interval (CI) 0.38 to 0.54) compared to sharp needles.,The use of blunt needles reduced the risk of glove perforations by 54% (95% confidence interval 46% to 62%) compared to sharp needles.,Simplify sentence: 
167,"They can be grouped into those including a bleaching agent such as hydroquinone, triple-combination creams (hydroquinone, tretinoin, and fluocinolone acetonide), and combination therapies (hydroquinone cream and glycolic acid peels), as well as less conventional therapies including rucinol, vitamin C iontophoresis, and skin-lightening complexes like Thiospot and Gigawhite.","They can be grouped into those including a bleaching agent such as hydroquinone, triple-combination creams (hydroquinone, tretinoin, and fluocinolone acetonide), and combination therapies (hydroquinone cream and glycolic acid peels), as well as less conventional therapies including rucinol, vitamin C iontophoresis, and skin-lightening complexes like Thiospot and Gigawhite.","hydroquinone), acne creams (e.g.",Simplify sentence: 
168,"To compare, among patients treated with either anticoagulants or antiplatelet agents, the risk of ischaemic strokes and major bleeding episodes.","We identified 10 trials of corticosteroids, to reduce bleeding (the risk of ischaemic stroke) and to reduce the risk of ischaemic strokes.",We found only poor quality non-randomised studies that compared anticoagulants with aspirin.,Simplify sentence: 
169,There were no serious adverse events related to either nitrous oxide or carbon dioxide pneumoperitoneum (three studies; 196 participants; very low quality of evidence).,There were no serious side effects related to either nitrous oxide or carbon dioxide pneumoperitoneum (three studies; 196 participants).,We are uncertain as to whether there are differences in the number of people with heart or lung complications or surgical complications between nitrous oxide and carbon dioxide.,Simplify sentence: 
170,"The improved success rate at the first attempt may be more pronounced in infants and small children, in whom arterial line cannulation is more challenging than in older children.","The improvement of successful results at the first attempt may be more pronounced in infants and small children, in which arterial line cannulation is more challenging than in older children.",It is likely that ultrasound is more useful for infants and small children than for older children.,Simplify sentence: 
171,"We searched the Cochrane Central Register of Controlled Trials (CENTRAL; Issue 9, 2014) on the Cochrane Library, MEDLINE (OVID, 1946 to October week 1 2014), EMBASE (OVID, 1980 to 2014 week 41), the China Biological Medicine Database (CBM) (1978 to 2014), the Chinese National Knowledge Infrastructure (CNKI) (1979 to 2014), Chinese Science and Technique Journals Database (VIP) (1989 to 2014).",We searched for eligible studies up to October 2014.,This review includes evidence identified up to October 2014.,Simplify sentence: 
172,"All studies had at least one domain with unclear risk of bias, and some studies were at high risk of bias for allocation concealment (one study) and selective reporting (two studies).",There was at least one domain with unclear risk of bias; some studies were at high risk of bias for allocation concealment (one study) and selective reporting (two studies).,"The results of this review should be treated with caution as the studies were small, of short duration and there was some risk of bias (where there was a risk of arriving at the wrong conclusions because of favouritism by the participants or researchers).",Simplify sentence: 
173,To compare the efficacy and continuation rates of the sponge with the diaphragm (used with nonoxynol-9).,In this Cochrane Review we compared the effects of the sponge with the diaphragmat (used with nooxynol-9).,This review compared how well these two methods work in preventing pregnancy.,Simplify sentence: 
174,Postoperative complications as well as cost and time to work resumption were less in the aspiration and sclerotherapy group; however the recurrence rate was higher.,"Combined sclerotherapy and aspiration had less complications and cost than resumption after the operation; however, the recurrence rate was higher.","Postoperative complications such as infection and fever, as well as cost and time to work resumption were less in the aspiration and sclerotherapy group; however the recurrence rate was higher.",Simplify sentence: 
175,Two authors independently identified trials and collected data.,Two authors independently identified trials and collected the data.,Two review authors searched the medical literature available to May 2013 and obtained the information from the identified trials.,Simplify sentence: 
176,"We searched the Cochrane Stroke Group Trials Register (16 January 2018), the Cochrane Central Register of Controlled Trials (CENTRAL; 2017, Issue 12) in the Cochrane Library (January 2018), MEDLINE Ovid (1946 to January 2018), Embase Ovid (1974 to January 2018), Web of Science Core Collection (1950 to January 2018) and three Chinese databases (January 2018).",We searched for trials in 16 January 2018.,The results of this review are current up to January 2018.,Simplify sentence: 
177,"Only a few reported how many people had good pain relief, but where it was reported, over 90% had no worse than mild pain within a reasonably short time period.",Only a few reported how many people had good pain relief.,More than 9 in 10 participants had pain that went from moderate or severe before taking morphine to pain that was no worse than mild when taking morphine.,Simplify sentence: 
178,"Overall, long-term antibiotic prophylaxis probably reduces the risk of SSI (plausible effects range between a 76% to a 0.26% relative reduction in SSI with long-term antibiotic prophylaxis) (472 participants; RR 0.42, 95% CI 0.24 to 0.74; moderate-quality evidence).","Overall, long-term antibiotics probably reduces the risk of developing SSI (moderate-quality evidence) compared with long-term antibiotics.","Overall, long-term antibiotics reduce the risk of SSI, and there is uncertainty regarding the effects of receiving one dose of antibiotics preoperatively versus short term antibiotics.",Simplify sentence: 
179,There is qualitative evidence that oral morphine has much the same efficacy as other available opioids.,"There is evidence that oral morphine is more effective than other available opioids in terms of healing, and in terms of reducing symptoms of pain.",At one level these are good results.,Simplify sentence: 
180,We are uncertain whether oxandrolone increases or decreases the risk of serious adverse events as we assessed the certainty of the evidence as very low.,We are uncertain whether the risk of serious side effects after oxandrolone was increased or decreased as we judged the certainty of the evidence as very low.,"Because of the limited data available from one trial, we remain uncertain whether anabolic steroids have beneficial effects on pressure ulcer healing, whether the treatment causes increased serious adverse events and if the treatment may increase the risk of non-serious adverse events.",Simplify sentence: 
181,"carbon dioxide, helium, argon, nitrogen, nitrous oxide, and room air) used for establishing pneumoperitoneum in participants undergoing laparoscopic general abdominal or gynaecological pelvic surgery.","carbon dioxide, helium, argon, nitrogen, nitrous oxide, and room air) used for establishing pneumoperitoneum in participants during surgical pelvic surgery in women who had not received surgical support.",What are the benefits and harms of various gases for insufflation (inflation with gas) of the abdominal (tummy) cavity to allow easier access to organs during laparoscopic (key-hole) abdominal surgery?,Simplify sentence: 
182,"Potential harms from statin therapy were limited by lack of systematic reporting and were uncertain in analyses that had few events: elevated creatine kinase (7 studies, 4514 participants; RR 0.84, 95% CI 0.20 to 3.48), liver function abnormalities (7 studies, RR 0.76, 95% CI 0.39 to 1.50), withdrawal due to adverse events (13 studies, 4219 participants; RR 1.16, 95% CI 0.84 to 1.60), and cancer (2 studies, 5581 participants; RR 1.03, 95% CI 0.82 to 130).","Potential harms from statin therapy were limited by lack of systematic reporting and were uncertain in analyses that had few events: elevated creatine kinase (lowest creatine kinase), liver function abnormalities (lowest creatine kinase), withdrawal due to adverse events (13 studies, 4219 participants), and cancer (2 studies, 5581 participants).","We found that these issues were not analysed well in the studies we evaluated, and these effects are not well understood.",Simplify sentence: 
183,"Thiospot was more effective than placebo (SMD -2.61, 95% CI -3.76 to -1.47).",Thiospot was more effective than placebo for this outcome.,"Tretinoin was more effective at lightening melasma compared to placebo, as was the skin-whitening complex Thiospot.",Simplify sentence: 
184,Morphine has been used for many years to relieve pain.,Morphine is an effective treatment for many pain problems.,Morphine taken by mouth produced good pain relief for most people with moderate or severe cancer pain.,Simplify sentence: 
185,The contraceptive vaginal sponge was developed as an alternative to the contraceptive diaphragm.,"The first contraceptive vaginal sponge, namely the Vaginal sponge, was developed as an alternative to the contraceptive diaphragm.",The diaphragm is a rubber circle that goes in the birth canal.,Simplify sentence: 
186,The conclusions have not changed for this update.,The conclusions have not changed for this update.,At one level these are good results.,Simplify sentence: 
187,"We included 50 studies (45,285 participants): 47 studies (39,820 participants) compared statins with placebo or no treatment and three studies (5547 participants) compared two different statin regimens in adults with CKD who were not yet on dialysis.","We included 50 studies involving 45,285 participants.","We looked at 50 studies published before June 2012 concerning statin treatment in over 45,000 people with CKD who did not need dialysis treatment.",Simplify sentence: 
188,"The review demonstrates the wide dose range of morphine used in studies, and that a small percentage of participants are unable to tolerate oral morphine.",The review highlights the wide range of different morphine (e.g.,"The studies were often small, compared many different preparations, and used different study designs.",Simplify sentence: 
189,The results of this review are threatened by both risks of systematic errors (bias) and risks of random errors (play of chance).,"In summary, the results of this review are threatened by both risks of systematic errors (bias) and risks of random errors (play of chance).","Overall, the quality of evidence was very low.",Simplify sentence: 
190,This review describes the results of trials of blood (asexual)-stage vaccines.,This review provides evidence about the effectiveness of blood (asexual)-stage vaccines.,"This review looked at vaccinations targeted at the asexual (blood) phase of the parasite's life, when the parasites are in red blood cells.",Simplify sentence: 
191,In March 2017 we searched the Cochrane Wounds Specialised Register; the Cochrane Central Register of Controlled Trials (CENTRAL); Ovid MEDLINE (including In-Process & Other Non-Indexed Citations); Ovid Embase and EBSCO CINAHL Plus.,In March 2017 we searched the Cochrane Wounds Specialised Register; the Cochrane Central Register of Controlled Trials (CENTRAL; Ovid MEDLINE (including In-Process & Other Non-Indexed Citations); Ovid Embase and EBSCO CINAHL Plus.,"In March 2017, we searched for randomised controlled trials, which compared the use of anabolic steroids with other treatments for pressure ulcers.",Simplify sentence: 
192,Extracranial internal carotid artery dissection (eICAD) is a leading cause of stroke in younger patients.,Extracranial internal carotid artery dissection (eICAD) is a leading cause of stroke in younger patients.,Blood clots can form where the artery is torn.,Simplify sentence: 
193,"In the larger USA trial, the 12-month cumulative life-table termination rates per 100 women for overall pregnancy were 17.4 for the sponge and 12.8 for the diaphragm.","In the larger USA trial, the 12-month cumulative life-table termination rates per 100 women for overall pregnancy were 17,4 for the sponge and 12.8 for the diaphragm.","For every 100 women who used the sponge for a year, about 17 got pregnant.",Simplify sentence: 
194,"Azelaic acid (20%) was significantly more effective than 2% hydroquinone (RR 1.25, 95% CI 1.06 to 1.48) at lightening melasma but not when compared to 4% hydroquinone (RR 1.11, 95% CI 0.94 to 1.32).","Azelaic acid (20%) was more effective than 2% hydroquinone (RR 1.25, 95% CI 1.06 to 1.48) at lightening melasma but not when compared to 4% hydroquinone (RR 1.11, 95% CI 0.94 to 1.32).","Triple-combination cream was significantly more effective at lightening melasma when compared to hydroquinone alone or to dual combinations such as tretinoin and hydroquinone, tretinoin and fluocinolone acetonide, or hydroquinone and fluocinolone acetonide.",Simplify sentence: 
